timestamp,elapsed_seconds,cpu_percent,memory_usage,memory_percent
2025-08-14 05:16:43,2,127.52%,162.9MiB / 15.62GiB,1.02%
2025-08-14 05:16:46,4,115.61%,169.8MiB / 15.62GiB,1.06%
2025-08-14 05:16:50,6,130.95%,219.2MiB / 15.62GiB,1.37%
2025-08-14 05:16:53,8,116.19%,234.4MiB / 15.62GiB,1.47%
2025-08-14 05:16:57,10,22.87%,262MiB / 15.62GiB,1.64%
2025-08-14 05:17:01,12,23.12%,262.2MiB / 15.62GiB,1.64%
2025-08-14 05:17:05,14,22.26%,262MiB / 15.62GiB,1.64%
2025-08-14 05:17:08,16,22.39%,262.1MiB / 15.62GiB,1.64%
2025-08-14 05:17:12,18,22.03%,262.1MiB / 15.62GiB,1.64%
2025-08-14 05:17:15,20,22.39%,262.1MiB / 15.62GiB,1.64%
2025-08-14 05:17:19,22,27.25%,262.1MiB / 15.62GiB,1.64%
2025-08-14 05:17:22,24,22.77%,262.1MiB / 15.62GiB,1.64%
2025-08-14 05:17:26,26,22.73%,262.1MiB / 15.62GiB,1.64%
2025-08-14 05:17:29,28,23.66%,262.1MiB / 15.62GiB,1.64%
2025-08-14 05:17:33,30,21.77%,264.9MiB / 15.62GiB,1.66%
2025-08-14 05:17:37,32,22.09%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:17:41,34,21.69%,265MiB / 15.62GiB,1.66%
2025-08-14 05:17:44,36,21.82%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:17:48,38,22.99%,265MiB / 15.62GiB,1.66%
2025-08-14 05:17:51,40,22.98%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:17:55,42,23.41%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:17:58,44,23.08%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:18:02,46,21.98%,265MiB / 15.62GiB,1.66%
2025-08-14 05:18:05,48,22.61%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:18:09,50,23.02%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:18:13,52,23.18%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:18:16,54,22.72%,265MiB / 15.62GiB,1.66%
2025-08-14 05:18:20,56,22.85%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:18:24,58,21.77%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:18:27,60,23.20%,264.8MiB / 15.62GiB,1.66%
2025-08-14 05:18:31,62,27.90%,265MiB / 15.62GiB,1.66%
2025-08-14 05:18:34,64,22.19%,265MiB / 15.62GiB,1.66%
2025-08-14 05:18:38,66,21.81%,265.2MiB / 15.62GiB,1.66%
2025-08-14 05:18:41,68,23.42%,265MiB / 15.62GiB,1.66%
2025-08-14 05:18:45,70,22.80%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:18:49,72,22.97%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:18:52,74,23.29%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:18:56,76,23.07%,265.4MiB / 15.62GiB,1.66%
2025-08-14 05:19:00,78,24.10%,265.2MiB / 15.62GiB,1.66%
2025-08-14 05:19:03,80,22.17%,265.3MiB / 15.62GiB,1.66%
2025-08-14 05:19:07,82,28.51%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:10,84,21.21%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:14,86,21.88%,265.2MiB / 15.62GiB,1.66%
2025-08-14 05:19:17,88,23.47%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:21,90,22.35%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:25,92,22.45%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:28,94,22.10%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:32,96,23.35%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:35,98,22.42%,265.1MiB / 15.62GiB,1.66%
2025-08-14 05:19:39,100,22.58%,265.1MiB / 15.62GiB,1.66%
